zip_code,city,state
99546,Adak,Alaska
99571,Adak,Alaska
99615,Akhiok,Alaska
99551,Akiachak,Alaska
99552,Akiak,Alaska
99553,Akutan,Alaska
99554,Alakanuk,Alaska
99555,Aleknagik,Alaska
99720,Allakaket,Alaska
99786,Ambler,Alaska
99721,Anaktuvuk,Alaska
99505,Anch,Alaska
99556,Anchor Point,Alaska
99501,Anchorage,Alaska
99502,Anchorage,Alaska
99503,Anchorage,Alaska
99504,Anchorage,Alaska
99506,Anchorage,Alaska
99507,Anchorage,Alaska
99508,Anchorage,Alaska
99509,Anchorage,Alaska
99510,Anchorage,Alaska
99511,Anchorage,Alaska
99513,Anchorage,Alaska
99514,Anchorage,Alaska
99515,Anchorage,Alaska
99516,Anchorage,Alaska
99517,Anchorage,Alaska
99518,Anchorage,Alaska
99519,Anchorage,Alaska
99520,Anchorage,Alaska
99521,Anchorage,Alaska
99522,Anchorage,Alaska
99523,Anchorage,Alaska
99524,Anchorage,Alaska
99529,Anchorage,Alaska
99530,Anchorage,Alaska
99540,Anchorage,Alaska
99599,Anchorage,Alaska
99695,Anchorage,Alaska
99744,Anderson,Alaska
99820,Angoon,Alaska
99557,Aniak,Alaska
99558,Anvik,Alaska
99722,Arctic Village,Alaska
99547,Atka,Alaska
99559,Atmautluak,Alaska
99791,Atqasuk,Alaska
99821,Auke Bay,Alaska
99711,Badger,Alaska
99723,Barrow,Alaska
99734,Barrow,Alaska
99759,Barrow,Alaska
99789,Barrow,Alaska
99724,Beaver,Alaska
99637,Bethel,Alaska
99679,Bethel,Alaska
99680,Bethel,Alaska
99690,Bethel,Alaska
99726,Bettles,Alaska
99652,Big Lake,Alaska
99785,Brevig Mission,Alaska
99727,Buckland,Alaska
99729,Cantwell,Alaska
99730,Central,Alaska
99788,Chalkyitsik,Alaska
99561,Chefornak,Alaska
99574,Chenega Bay,Alaska
99563,Chevak,Alaska
99674,Chickaloon,Alaska
99732,Chicken,Alaska
99548,Chignik,Alaska
99564,Chignik,Alaska
99565,Chignik Lagoon,Alaska
99566,Chitina,Alaska
99567,Chugiak,Alaska
99733,Circle,Alaska
99568,Clam Gulch,Alaska
99569,Clarks Point,Alaska
99704,Clear,Alaska
99918,Coffman Cove,Alaska
99701,Coldfoot,Alaska
99572,Cooper Landing,Alaska
99573,Copper Center,Alaska
99677,Cordova,Alaska
99921,Craig,Alaska
99575,Crooked Creek,Alaska
99736,Deering,Alaska
99731,Delta Jct,Alaska
99737,Delta Jct,Alaska
99755,Denali National Park,Alaska
99576,Dillingham,Alaska
99762,Diomede,Alaska
